Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Black Box Age
0,3602160,16495.0,17140.02964389774,0.2036,1,6
0,3602520,2922.0,2991.3308220137005,0.0000,2,1
0,3603600,8827.0,8992.421075538465,0.1827,3,3
0,3606120,20825.0,20973.763138982074,0.2710,4,7
0,3610080,32834.0,32952.37556102778,0.3738,5,11
0,3612600,20871.0,20971.130558419474,0.3185,6,7
0,3612960,2886.0,3000.576269906083,0.0000,7,1
0,3614040,8877.0,8991.206302015811,0.2967,8,3
0,3615480,11740.0,11992.799728355229,0.1041,9,4
0,3616560,8976.0,8986.5337100018,0.3448,10,3
0,3618000,11893.0,11985.47099544346,0.4078,11,4
0,3619800,14561.0,14996.333257784054,0.3140,12,5
0,3624480,38703.0,38947.6482933744,0.2558,13,13
0,3625560,8923.0,8988.92716625206,0.1994,14,3
0,3629520,32251.0,32980.775605236006,0.2936,15,11
0,3629880,2931.0,2998.4142396394736,0.0000,16,1
0,3630240,2989.0,2995.674806180777,0.0000,17,1
0,3630600,2822.0,3003.646586932858,0.0000,18,1
0,3630960,2982.0,2996.009391672607,0.0000,19,1
0,3631680,5871.0,5996.411729194984,0.4866,20,2
0,3634920,26675.0,26971.167567708097,0.3154,21,9
0,3648960,116495.0,116802.99606922017,0.3472,22,39
0,3656880,65699.0,65899.65645202309,0.3019,23,22
0,3683520,221540.0,221554.7786025971,0.2956,24,74
0,3686400,23522.0,23982.22184313805,0.2929,25,8
0,3687120,5949.0,5992.644078087996,0.2010,26,2
0,3687480,2862.0,3001.7316925607515,0.0000,27,1
0,3687840,2671.0,3010.85044858465,0.0000,28,1
0,3688200,2951.0,2997.485115713193,0.0000,29,1
0,3689640,11947.0,11982.934898580095,0.2651,30,4
0,3692520,23674.0,23975.6326894432,0.2625,31,8
0,3692880,2780.0,3005.630108381455,0.0000,32,1
0,3694680,14177.0,15014.692977672841,0.3497,33,5
0,3700080,44603.0,44944.52124497941,0.3263,34,15
0,3700440,2737.0,3007.665236531336,0.0000,35,1
0,3701160,5404.0,6018.734392162247,0.1765,36,2
0,3701880,5924.0,5994.054497885737,0.3076,37,2
0,3703680,14939.0,14979.272043441168,0.3310,38,5
0,3704760,8689.0,9001.122844301008,0.0821,39,3
0,3705120,2342.0,3026.896164647641,0.0000,40,1
0,3705480,2725.0,3008.619063892025,0.0000,41,1
0,3715560,83835.0,83871.3085744521,0.3134,42,28
0,3726720,92294.0,92881.40129554315,0.2980,43,31
0,3741840,125520.0,125794.65596014951,0.3608,44,42
0,3742200,2648.0,3012.213491211829,0.0000,45,1
0,3742560,2891.0,3000.705966100448,0.0000,46,1
0,3742920,2573.0,3015.893324769039,0.0000,47,1
0,3743280,2352.0,3026.4409713277937,0.0000,48,1
0,3743640,2742.0,3007.8217099896706,0.0000,49,1
0.0100000000000000002,3602160,16495.0,17140.02964389774,0.2036,1,6
0.0100000000000000002,3602520,2922.0,2991.3308220137005,0.0000,2,1
0.0100000000000000002,3603600,8827.0,8992.421075538465,0.1827,3,3
0.0100000000000000002,3606120,20825.0,20973.763138982074,0.2710,4,7
0.0100000000000000002,3610080,32834.0,32952.37556102778,0.3738,5,11
0.0100000000000000002,3612600,20871.0,20971.130558419474,0.3185,6,7
0.0100000000000000002,3612960,2886.0,3000.576269906083,0.0000,7,1
0.0100000000000000002,3614040,8877.0,8991.206302015811,0.2967,8,3
0.0100000000000000002,3615480,11740.0,11992.799728355229,0.1041,9,4
0.0100000000000000002,3616560,8976.0,8986.5337100018,0.3448,10,3
0.0100000000000000002,3618000,11893.0,11985.47099544346,0.4078,11,4
0.0100000000000000002,3619800,14561.0,14996.333257784054,0.3140,12,5
0.0100000000000000002,3624480,38703.0,38947.6482933744,0.2558,13,13
0.0100000000000000002,3625560,8923.0,8988.92716625206,0.1994,14,3
0.0100000000000000002,3629520,32251.0,32980.775605236006,0.2936,15,11
0.0100000000000000002,3629880,2931.0,2998.4142396394736,0.0000,16,1
0.0100000000000000002,3630240,2989.0,2995.674806180777,0.0000,17,1
0.0100000000000000002,3630600,2822.0,3003.646586932858,0.0000,18,1
0.0100000000000000002,3630960,2982.0,2996.009391672607,0.0000,19,1
0.0100000000000000002,3631680,5871.0,5996.411729194984,0.4866,20,2
0.0100000000000000002,3634920,26675.0,26971.167567708097,0.3154,21,9
0.0100000000000000002,3648960,116495.0,116802.99606922017,0.3472,22,39
0.0100000000000000002,3656880,65699.0,65899.65645202309,0.3019,23,22
0.0100000000000000002,3683520,221540.0,221554.7786025971,0.2956,24,74
0.0100000000000000002,3686400,23522.0,23982.22184313805,0.2929,25,8
0.0100000000000000002,3687120,5949.0,5992.644078087996,0.2010,26,2
0.0100000000000000002,3687480,2862.0,3001.7316925607515,0.0000,27,1
0.0100000000000000002,3687840,2671.0,3010.85044858465,0.0000,28,1
0.0100000000000000002,3688200,2951.0,2997.485115713193,0.0000,29,1
0.0100000000000000002,3689640,11947.0,11982.934898580095,0.2651,30,4
0.0100000000000000002,3692520,23674.0,23975.6326894432,0.2625,31,8
0.0100000000000000002,3692880,2780.0,3005.630108381455,0.0000,32,1
0.0100000000000000002,3694680,14177.0,15014.692977672841,0.3497,33,5
0.0100000000000000002,3700080,44603.0,44944.52124497941,0.3263,34,15
0.0100000000000000002,3700440,2737.0,3007.665236531336,0.0000,35,1
0.0100000000000000002,3701160,5404.0,6018.734392162247,0.1765,36,2
